Source,Target
ZOGETI,SEKPOE
SRIFAI,SEKPOE
COLMSO-3,SEKPOE
MEYTEA,SEKPOE
MCLOER,SEKPOE
TENAQA,SEKPOE
PAUMAP-3,SEKPOE
PECPOP,SEKPOE
MOOCCC,SEKPOE
CHAACD-7,KRADTR
MUNTVO-2,KRADTR
KRAMAM-5,KRADTR
KNIAIA,KRADTR
MAMHNR,KRADTR
DANTAA-8,KRADTR
FEIHBM,KRADTR
DANTCA-12,KRADTR
KRAEPO-4,KRADTR
TIGTIN,KRADTR
KNERGA,KRADTR
SARER-3,KRADTR
NORCPO-4,DEMCLS-3
HENFFA-5,DEMCLS-3
BORTTO-17,DEMCLS-3
MAHCPA-2,DEMCLS-3
VESOAR,BASTAT-10
BOKCCA,BASTAT-10
TALMIS-2,BASTAT-10
CASCSF,BASTAT-10
MICCIC-2,BASTAT-10
COKTMD,BASTAT-10
GURTEF,BASTAT-10
THOERI-7,BASTAT-10
CONITA-4,BASTAT-10
TALCMT,BASTAT-10
BASFMT-2,BASTAT-10
MICCIC-6,BASTAT-10
LUCTQO,BASTAT-10
BASTCO-24,BASTAT-10
OHNPMP,BASTAT-10
VARPIO,BASTAT-10
YITTRO,MITMVT
LEEASC-3,MITMVT
BILEVO,MITMVT
SILILH,MITMVT
SMITTS-9,MITMVT
MUOHFH,MITMVT
VONTRB-2,KIMBEA
GREMTG-5,KIMBEA
TERBGQ,KIMBEA
SCHWAN-10,KIMBEA
AMETCO-11,KIMBEA
JAUPPM,KIMBEA
KOEAVE,KIMBEA
BALTF-2,GOLSE
CASAAP-5,GOLSE
KOTECA,GOLSE
HOLDAD-11,GOLSE
REYDAK,GOLSE
GRASKA,GOLSE
NOVTRO-6,GOLSE
VALWNF,GOLSE
JACWEA,GOLSE
DELCU-2,GOLSE
CHEJHE,GOLSE
HOFCBA,GOLSE
CROFAS-2,GOLSE
GOLWWO-2,GOLSE
FRERAI-6,GOLSE
KNISEC,GOLSE
ELIOED,GOLSE
PRIMPI-3,GOLSE
VIOSRO,GOLSE
REMOSE,GOLSE
DELOSP,GOLSE
DANSPA,GOLSE
MNETSA,GOLSE
GASHSI,GOLSE
OPPD,GOLSE
ORIITA,GOLSE
CLMTTO-2,GOLSE
GRAFSE,GOLSE
FLOODL,GOLSE
DICSEI,GOLSE
MORASC-4,GOLSE
SALSEC-5,GOLSE
GRIMEE,GOLSE
MAREOT-26,GOLSE
MARTCD-3,GOLSE
HABGI,GOLSE
LALEAE,GOLSE
SANOE-2,GOLSE
MOLPDA-2,GOLSE
METWDI,GOLSE
FRETTE,GOLSE
WALNNB-2,GOLSE
YARWTT,GOLSE
FADPTI,GOLSE
FREWIT-3,GOLSE
REMFAR,GOLSE
AVICFA-3,GOLSE
WERTLT-2,GOLSE
FURSSE,GOLSE
CANBCT,GOLSE
MALVUP,GOLSE
HOFWYS,GOLSE
BUDCIE,GOLSE
SPEIEA,GOLSE
WOOFGO,GOLSE
BEDTDO-4,GOLSE
NICICA-2,GOLSE
PIGTLO,GOLSE
NIISAO,GOLSE
MNEWTS,GOLSE
ECKTEM,GOLSE
MCKEE,GOLSE
KRMICA,GOLSE
KHUAFF,GOLSE
GOESTA-3,GOLSE
FEREII,GOLSE
AVICFA,GOLSE
OCOMHF,GOLSE
HUDPOP-2,GOLSE
RODCSD,GOLSE
PEZILA,GOLSE
PLZAOO,SCHRIP-3
SINMRA-9,SCHRIP-3
PETIBI-2,SCHRIP-3
KNITTO-4,SCHRIP-3
WILTMO-67,SCHRIP-3
BLUICD,SCHRIP-3
CHESAI-4,SCHRIP-3
BOGTDO-4,DURVTE
DURDSE,DURVTE
DURGFT,DURVTE
DURCDL-2,DURVTE
DURCSI-2,DURVTE
KASANR-2,DURVTE
DURAFF,DURVTE
KOSWHN,DURVTE
SCHDWM-2,DURVTE
DURCSA-6,DURVTE
DURTNC,DURVTE
DURAFF-4,DURVTE
CHELED-11,MARAAL-14
MARTPA-38,MARAAL-14
